"player_key","games","fumbles_rec","fumbles_lost","fumbles_fum","interceptions_td","interceptions_yds","interceptions_int","receiving_td","receiving_yds","receiving_rec","rushing_td","rushing_yds","rushing_car","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"courtland sutton",12,0,0,0,0,0,0,12,1017,62,1,2,1,62,2,16.4032258064516,2,"00-0034348","Courtland Sutton",2018,8.51875,16
"da mari scott",13,0,1,1,0,0,0,1,543,53,0,91,13,35,15,10.2452830188679,7,"00-0034256","Da'Mari Scott",2018,0,1
"daesean hamilton",12,0,0,0,0,0,0,7,747,48,0,2,1,36,2,15.5625,2,"00-0034370","DaeSean Hamilton",2018,6.02727272727273,11
"dalen cambre",7,0,0,0,0,0,0,0,22,2,0,0,0,13,NA,11,NA,"00-0040431","Dalen Cambre",2025,0,3
"dalevon campbell",6,0,0,0,0,0,0,0,252,11,0,0,0,58,NA,22.9090909090909,NA,"00-0040629","Dalevon Campbell",2025,0,1
"damion ratley",11,0,0,0,0,0,0,6,603,26,0,0,0,76,NA,23.1923076923077,NA,"00-0034273","Damion Ratley",2018,5.48,5
"damion willis",10,0,0,0,0,0,0,8,775,43,0,0,0,75,NA,18.0232558139535,NA,"00-0035401","Damion Willis",2019,2.45714285714286,7
"dan chisena",5,1,0,0,0,0,0,0,66,3,0,0,0,40,NA,22,NA,"00-0035976","Dan Chisena",2020,0,7
"danny gray",10,0,0,0,0,0,0,9,803,49,0,40,3,68,27,16.3877551020408,13.3333333333333,"00-0037828","Danny Gray",2022,0.3625,8
"dante pettis",12,0,1,2,0,0,0,7,721,62,0,50,3,73,32,11.6290322580645,16.6666666666667,"00-0034860","Dante Pettis",2018,8.625,12
"darius cooper",11,0,2,2,0,0,0,9,1056,54,0,4,2,67,5,19.5555555555556,2,"00-0040024","Darius Cooper",2025,2.87142857142857,7
"darius slayton",10,0,0,1,0,0,0,2,510,32,0,0,0,53,NA,15.9375,NA,"00-0035535","Darius Slayton",2019,12.1428571428571,14
"darnell mooney",12,0,0,0,0,0,0,5,670,45,0,0,0,48,NA,14.8888888888889,NA,"00-0036309","Darnell Mooney",2020,9.50625,16
"darrius shepherd",1,0,0,0,0,0,0,0,23,3,0,9,2,14,8,7.66666666666667,4.5,"00-0035181","Darrius Shepherd",2019,0.183333333333333,6
"daurice fountain",1,0,0,0,0,0,0,0,30,3,0,0,0,20,NA,10,NA,"00-0034395","Daurice Fountain",2020,2.15,2
"david bell",11,0,0,0,0,0,0,6,1286,93,0,39,3,60,26,13.8279569892473,13,"00-0037257","David Bell",2022,3.02666666666667,15
"dax milne",10,0,1,2,0,0,0,7,1012,55,0,60,10,78,15,18.4,6,"00-0036671","Dax Milne",2021,1.71111111111111,9
"daylen baldwin",6,0,0,0,0,0,0,2,250,16,0,0,0,69,NA,15.625,NA,"00-0038147","Daylen Baldwin",2022,4.5,1
"dazz newsome",10,0,1,1,0,0,0,5,601,46,1,21,2,75,15,13.0652173913043,10.5,"00-0036907","Dazz Newsome",2021,1.43333333333333,3
