player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0019976,Drew Bennett,2005,13,NA,NA,NA,NA,NA,NA,NA,NA,0.0769230769230769,0.230769230769231,0,4.46153846153846,56.7692307692308,0.307692307692308,0,0,0,10.5923076923077,13,0
00-0019976,Drew Bennett,2006,13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.53846153846154,56.6923076923077,0.230769230769231,0.0769230769230769,0,0,6.32142857142857,14,0
00-0019976,Drew Bennett,2007,14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.35714285714286,26.7857142857143,0.214285714285714,0.0714285714285714,0,0,1.4,1,0
00-0019997,Antonio Chatman,2004,17,NA,NA,NA,NA,NA,NA,NA,NA,0.235294117647059,2.11764705882353,0,1.41176470588235,15.9411764705882,0.0588235294117647,0.0588235294117647,0,0.0588235294117647,8.58125,16,0
00-0019997,Antonio Chatman,2005,16,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2.125,0,3.0625,34.3125,0.25,0,0,0,1.73333333333333,3,0
00-0019997,Antonio Chatman,2007,12,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,0.416666666666667,0,1.58333333333333,12.4166666666667,0.0833333333333333,0,0,0,3.88,10,0
00-0020021,Nate Poole,2004,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,14,0,0,0,0,2.325,4,0
00-0020337,Steve Smith,2005,19,51,2,19,72,197,40,7,87,0.421052631578947,3.31578947368421,0.105263157894737,6.84210526315789,99.8947368421053,0.789473684210526,0.105263157894737,0,0,18.55,14,0
00-0020337,Steve Smith,2006,14,51,2,19,72,197,40,7,87,0.571428571428571,4.35714285714286,0.0714285714285714,5.92857142857143,83.2857142857143,0.571428571428571,0,0,0.0714285714285714,15.5866666666667,15,0
00-0020337,Steve Smith,2007,15,51,2,19,72,197,40,7,87,0.6,4.4,0,5.8,66.8,0.466666666666667,0,0,0,18,15,0
00-0020337,Steve Smith,2008,15,51,2,19,72,197,40,7,87,0.333333333333333,2.66666666666667,0,5.33333333333333,97.3333333333333,0.466666666666667,0,0,0,13.96,15,0
00-0020337,Steve Smith,2009,15,51,2,19,72,197,40,7,87,0.333333333333333,1.46666666666667,0,4.33333333333333,65.4666666666667,0.466666666666667,0.0666666666666667,0,0,7.87857142857143,14,0
00-0020337,Steve Smith,2010,14,51,2,19,72,197,40,7,87,0.0714285714285714,0.642857142857143,0,3.28571428571429,39.5714285714286,0.142857142857143,0.0714285714285714,0,0,16.5,16,0
00-0020337,Steve Smith,2011,16,51,2,19,72,197,40,7,87,0.375,3.5,0,4.9375,87.125,0.4375,0,0,0,13.44375,16,0
00-0020337,Steve Smith,2012,16,51,2,19,72,197,40,7,87,0.1875,1.6875,0,4.5625,73.375,0.25,0,0.0625,0.0625,11.24375,16,0
00-0020337,Steve Smith,2013,16,51,2,19,72,197,40,7,87,0,0,0,4.25,51.1875,0.3125,0,0,0,13.7777777777778,18,0
00-0020337,Steve Smith,2014,18,51,2,19,72,197,40,7,87,0,0,0,4.83333333333333,67.2222222222222,0.388888888888889,0,0,0,18.7142857142857,7,0
00-0020337,Steve Smith,2015,7,51,2,19,72,197,40,7,87,0,0,0,6.57142857142857,95.7142857142857,0.428571428571429,0,0,0,13.1357142857143,14,0
00-0020361,Alex Bannister,2004,6,140,5,9,NA,205,NA,NA,NA,0,0,0,0.333333333333333,1.66666666666667,0,0,0,0,0,1,0
00-0020381,Justin McCareins,2004,18,124,4,29,NA,209,NA,NA,NA,0.111111111111111,-0.277777777777778,0,3.83333333333333,52.1666666666667,0.222222222222222,0.222222222222222,0,0,7.94375,16,0
00-0020381,Justin McCareins,2005,16,124,4,29,NA,209,NA,NA,NA,0.0625,0.5,0,2.6875,44.5625,0.125,0,0,0,5.29230769230769,13,0
00-0020381,Justin McCareins,2006,13,124,4,29,NA,209,NA,NA,NA,0,0,0,1.92307692307692,29.0769230769231,0.0769230769230769,0,0,0,3.83636363636364,11,0
00-0020381,Justin McCareins,2007,11,124,4,29,NA,209,NA,NA,NA,0,0,0,1.72727272727273,21.0909090909091,0,0,0,0,5.64615384615385,13,0
